"","id","message_time","day","hdop","hdop2","historical","hour","latitude","longitude","minute","month","second","siv","fix_time","year"
"91","eui-70b3d57ed005bd07","2023-05-04T15:18:17.150185426Z","4","11","5.23","0","15",46.83398,8.183,"18","5","3","4","18","23"
"92","eui-70b3d57ed005bd07","2023-05-04T15:17:43.569056614Z","4","111","3.67","0","15",46.83333,8.18274,"17","5","8","4","16","23"
"93","eui-70b3d57ed005bd07","2023-05-04T15:17:11.999911883Z","4","129","1.29","0","15",46.83356,8.1829,"17","5","2","9","188","23"
"94","eui-70b3d57ed005bd07","2023-05-04T15:13:48.451632990Z","4","159","1.59","0","15",46.83365,8.18299,"13","5","9","8","154","23"
"95","eui-70b3d57ed005bd07","2023-05-04T15:10:58.843891289Z","4","155","1.55","0","15",46.8335,8.18322,"10","5","9","7","59","23"
"96","eui-70b3d57ed005bd07","2023-05-04T15:09:44.260782797Z","4","162","1.62","0","15",46.83329,8.18276,"9","5","8","6","102","23"
"97","eui-70b3d57ed005bd07","2023-05-04T15:07:46.689841774Z","4","196","1.96","0","15",46.83332,8.18267,"7","5","8","6","43","23"
"98","eui-70b3d57ed005bd07","2023-05-04T15:06:48.122383727Z","4","195","1.95","0","15",46.83341,8.18272,"6","5","8","6","38","23"
"99","eui-70b3d57ed005bd07","2023-05-04T15:05:54.539260587Z","4","231","2.31","0","15",46.83334,8.1827,"5","5","10","4","19","23"
"100","eui-70b3d57ed005bd07","2023-05-04T15:05:19.969387320Z","4","99","0.99","0","15",46.83352,8.18301,"5","5","3","9","199","23"
"101","eui-70b3d57ed005bd07","2023-05-04T15:01:45.396058034Z","4","119","1.19","0","15",46.8335,8.18287,"1","5","8","8","108","23"
"102","eui-70b3d57ed005bd07","2023-05-04T14:59:41.818453442Z","4","105","1.05","0","14",46.83342,8.18276,"59","5","8","9","44","23"
"103","eui-70b3d57ed005bd07","2023-05-04T14:58:42.247489944Z","4","129","1.29","0","14",46.83354,8.18285,"58","5","8","7","43","23"
"104","eui-70b3d57ed005bd07","2023-05-04T14:57:43.674950832Z","4","138","1.38","0","14",46.83294,8.18241,"57","5","8","6","16","23"
"105","eui-70b3d57ed005bd07","2023-05-04T14:57:12.085018044Z","4","129","1.29","0","14",46.83344,8.18279,"57","5","2","7","19","23"
"106","eui-70b3d57ed005bd07","2023-05-04T14:56:37.525222505Z","4","223","2.23","0","14",46.83324,8.18268,"56","5","7","4","21","23"
"107","eui-70b3d57ed005bd07","2023-05-04T14:56:00.951473254Z","4","113","1.13","0","14",46.83352,8.18301,"55","5","11","9","93","23"
"108","eui-70b3d57ed005bd07","2023-05-04T14:54:12.373824594Z","4","112","1.12","0","14",46.83342,8.18279,"54","5","2","9","93","23"
"109","eui-70b3d57ed005bd07","2023-05-04T14:52:23.797738271Z","4","130","1.3","0","14",46.83338,8.18292,"52","5","4","7","56","23"
"110","eui-70b3d57ed005bd07","2023-05-04T14:51:12.216522649Z","4","171","1.71","0","14",46.83342,8.1828,"51","5","2","7","35","23"
"111","eui-70b3d57ed005bd07","2023-05-04T14:50:21.644253760Z","4","192","1.92","0","14",46.83332,8.18285,"50","5","4","5","22","23"
"112","eui-70b3d57ed005bd07","2023-05-04T14:49:44.073157759Z","4","187","1.87","0","14",46.83327,8.18244,"49","5","8","5","24","23"
"113","eui-70b3d57ed005bd07","2023-05-04T14:49:04.495250540Z","4","191","1.91","0","14",46.83337,8.18272,"49","5","0","5","21","23"
"114","eui-70b3d57ed005bd07","2023-05-04T14:48:27.911964551Z","4","104","1.04","0","14",46.83349,8.18295,"48","5","5","9","139","23"
"115","eui-70b3d57ed005bd07","2023-05-04T14:45:53.339541168Z","4","113","1.13","0","14",46.8334,8.18281,"45","5","10","8","206","23"
"116","eui-70b3d57ed005bd07","2023-05-04T14:42:11.757543702Z","4","133","1.33","0","14",46.83333,8.18293,"42","5","2","7","113","23"
"117","eui-70b3d57ed005bd07","2023-05-04T14:40:03.182439166Z","4","140","1.4","0","14",46.83339,8.18295,"40","5","0","6","66","23"
"118","eui-70b3d57ed005bd07","2023-05-04T14:38:41.614018724Z","4","159","1.59","0","14",46.83346,8.18294,"38","5","8","5","54","23"
"119","eui-70b3d57ed005bd07","2023-05-04T14:37:32.028652121Z","4","219","2.19","0","14",46.83335,8.18282,"37","5","6","5","45","23"
"120","eui-70b3d57ed005bd07","2023-05-04T14:36:31.442907383Z","4","121","1.21","0","14",46.83339,8.18291,"36","5","2","8","1","23"
"121","eui-70b3d57ed005bd07","2023-05-04T14:36:14.872620694Z","4","121","1.21","0","14",46.83339,8.18291,"36","5","2","8","178","23"
"122","eui-70b3d57ed005bd07","2023-05-04T14:30:58.306484196Z","4","125","1.25","0","14",46.83347,8.18299,"30","5","11","8","178","23"
"123","eui-70b3d57ed005bd07","2023-05-04T14:27:44.719193406Z","4","133","1.33","0","14",46.83364,8.18291,"27","5","8","7","130","23"
"124","eui-70b3d57ed005bd07","2023-05-04T14:25:19.160531671Z","4","145","1.45","0","14",46.83362,8.18312,"25","5","2","6","202","23"
"125","eui-70b3d57ed005bd07","2023-05-04T14:21:41.561223111Z","4","136","1.36","0","14",46.8336,8.18293,"21","5","8","7","41","23"
"126","eui-70b3d57ed005bd07","2023-05-04T14:20:44.983956492Z","4","189","1.89","0","14",46.8333,8.18304,"20","5","8","4","18","23"
"127","eui-70b3d57ed005bd07","2023-05-04T14:20:11.411159830Z","4","206","2.06","0","14",46.83336,8.18267,"20","5","1","4","14","23"
